league,team1,team2,measurements,ngame,score_diff,win1,win2,final_score_diff,score_diff_delta
El Salvador. Liga Superior,A.D. Isidro Metapán,Santa Tecla,1,70,3,3.58,1.3,-2,-5
El Salvador. Liga Superior,A.D. Isidro Metapán,Santa Tecla,3,70,0,4.22,1.24,-2,-2
El Salvador. Liga Superior,A.D. Isidro Metapán,Santa Tecla,6,70,6,2.304,1.61,-2,-8
El Salvador. Liga Superior,A.D. Isidro Metapán,Santa Tecla,7,70,8,1.83,1.968,-2,-10
El Salvador. Liga Superior,A.D. Isidro Metapán,Santa Tecla,8,70,8,2.97,1.4,-2,-10
El Salvador. Liga Superior,A.D. Isidro Metapán,Santa Tecla,9,70,7,2.656,1.48,-2,-9
El Salvador. Liga Superior,A.D. Isidro Metapán,Santa Tecla,10,70,7,2.656,1.48,-2,-9
El Salvador. Liga Superior,A.D. Isidro Metapán,Santa Tecla,11,70,7,3.09,1.38,-2,-9
El Salvador. Liga Superior,A.D. Isidro Metapán,Santa Tecla,12,70,8,2.425,1.56,-2,-10
El Salvador. Liga Superior,A.D. Isidro Metapán,Santa Tecla,13,70,8,2.088,1.736,-2,-10
El Salvador. Liga Superior,A.D. Isidro Metapán,Santa Tecla,14,70,6,2.475,1.54,-2,-8
El Salvador. Liga Superior,A.D. Isidro Metapán,Santa Tecla,15,70,6,2.265,1.63,-2,-8
El Salvador. Liga Superior,A.D. Isidro Metapán,Santa Tecla,16,70,8,2.265,1.63,-2,-10
El Salvador. Liga Superior,A.D. Isidro Metapán,Santa Tecla,17,70,6,2.565,1.51,-2,-8
El Salvador. Liga Superior,A.D. Isidro Metapán,Santa Tecla,19,70,8,1.896,1.896,-2,-10
El Salvador. Liga Superior,A.D. Isidro Metapán,Santa Tecla,20,70,6,2.265,1.63,-2,-8
El Salvador. Liga Superior,A.D. Isidro Metapán,Santa Tecla,21,70,6,2.265,1.63,-2,-8
El Salvador. Liga Superior,A.D. Isidro Metapán,Santa Tecla,22,70,6,2.265,1.63,-2,-8
El Salvador. Liga Superior,A.D. Isidro Metapán,Santa Tecla,23,70,6,2.265,1.63,-2,-8
El Salvador. Liga Superior,A.D. Isidro Metapán,Santa Tecla,24,70,6,2.265,1.63,-2,-8
El Salvador. Liga Superior,A.D. Isidro Metapán,Santa Tecla,25,70,6,2.13,1.704,-2,-8
El Salvador. Liga Superior,A.D. Isidro Metapán,Santa Tecla,26,70,7,1.984,1.815,-2,-9
El Salvador. Liga Superior,A.D. Isidro Metapán,Santa Tecla,27,70,7,1.815,1.984,-2,-9
El Salvador. Liga Superior,A.D. Isidro Metapán,Santa Tecla,28,70,11,1.26,3.94,-2,-13
